new_words,seconds,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans,valence_trans
of bed but then the thing is it's still there and then in the eu you,240,0,1,0,0,1,0,240,0,1,2,0,0,0,1
have these this inter connect enter europe,245,0,1,1,0,1,0,245,0,1,2,0,0,0,1
human health policy that insures these people,250,0,1,1,0,1,0,250,0,0,1,0,0,0,1
how every other that's not really true because unless you're actually a korean citizen not,255,1,2,2,0,0,0,255,0,1,1,0,0,0,2
really getting all these three basic insurances so,260,1,2,1,0,0,0,260,1,1,1,0,1,0,2
these foreigners and although he's unemployed people they're not really getting insured,265,1,1,1,0,0,0,265,0,0,1,0,1,0,1
in mattoon ways but you and that's because we don't have enough tax,270,1,1,0,1,0,0,270,0,0,1,0,1,0,1
money if that's something that comes from the text and it's hard to ensure these people,275,0,1,0,1,0,0,275,0,0,1,0,1,0,1
and then second novel like people escaping crisis well the humanitarian argument,280,0,1,0,1,0,0,280,0,0,1,0,1,0,1
yes you could make it but then i like to ask what kind of practical,285,0,1,0,1,0,0,285,0,0,1,0,1,0,1
benefit doll is being humanitarian bring to the country,290,0,1,0,1,0,0,290,0,0,1,0,1,0,1
so we can think of all the examples such as states bringing people from south america,295,0,1,0,0,0,0,295,0,0,1,0,0,0,1
now they're dying that to and the reality european refugee crisis which,300,0,1,0,0,0,0,300,2,0,1,0,0,0,1
now is bringing a lot of terrorism and fights within the state of europe,305,0,1,0,0,0,0,305,2,0,1,0,0,0,1
as i mean not a lot but then there's still help me it's increased from the form,310,0,1,0,1,0,1,310,0,0,1,0,0,0,1
i would like,315,0,1,0,1,0,1,315,2,0,1,0,0,0,1
to take them say the last part which is mostly the first construed,320,0,2,0,1,0,1,320,0,0,1,0,0,0,2
the major blood i think the whole question of you,325,0,2,0,1,0,1,325,0,0,1,0,0,0,2
humanitarian needs more about what you want to be as a country and,330,0,1,0,1,1,1,330,0,0,1,0,1,0,1
what you want to represent as you go to more than adding and subtracting,335,0,1,0,1,1,1,335,0,0,1,0,1,0,1
numbers of economics i would say like for example so,340,0,1,0,1,1,1,340,0,0,1,0,1,0,1
scary simon lot of convention accords just she,345,0,1,1,1,1,0,345,1,0,1,0,1,0,1
that the country's somehow bound to respect even if a lot of countries,350,0,1,1,1,1,0,350,1,0,2,0,0,0,1
are not respecting those and i would think that it's,355,0,1,1,1,1,0,355,0,0,2,0,0,0,1
a bit difficult to not being you mean humanitarian considering,360,0,1,1,1,1,0,360,0,0,2,0,0,0,1
yemen position themselves to be our position because like for example people,365,0,1,1,1,1,0,365,0,0,2,0,0,0,1
in yemen didn't choose to start in yemen with their life right and so if,370,0,2,1,1,1,0,370,0,0,2,0,0,0,2
they would start to korea they would have the korean mushroom tea and everything that comes with it,375,0,2,1,1,1,0,375,0,2,1,0,0,0,2
so it's kind of epic buyers to sing by on the numbers and the last,380,0,2,1,1,1,0,380,0,2,1,0,0,0,2
part is about comparing refugees for example even if korea is not dutch learn,385,0,2,1,1,1,0,385,0,2,1,0,0,0,2
and even if there's a lot of problem we're basically comparing something,390,0,2,1,1,1,0,390,0,2,1,0,0,0,2
that is not comparable i would say because it's for attention,395,0,2,1,1,1,0,395,0,2,1,0,0,0,2
is somewhere near 1 million people in people will get gems around for,400,0,2,1,1,1,0,400,0,2,1,0,0,0,2
maybe 500 people so i would say in the last spoke about,405,0,2,1,1,1,0,405,0,2,1,0,0,0,2
terrorism i guess it's a bit i'm a bit biased because i'm from europe,410,0,2,1,1,1,0,410,0,0,1,0,0,0,2
but i would say that despite everything we can hear you,415,0,2,1,1,1,0,415,0,0,1,0,0,0,2
let me see not true 382 diversion so,420,0,2,1,1,1,0,420,0,0,1,0,0,0,2
people are not really feeling scared like they're not really feeling concerned the whole therapy,425,0,1,1,1,1,0,425,0,0,1,0,0,0,1
thing and yeah they are concerned but the link between immigration and terrorism he's a bit,430,0,1,1,1,1,0,430,0,0,1,0,0,0,1
more difficult than for example in france most of the people that went on there,435,0,2,1,1,1,0,435,0,0,1,0,0,0,2
are parks was actually french people it's french national tea,440,0,2,1,1,1,0,440,0,0,1,0,0,0,2
people so it's not the yellowjackets i guess but then before that there were terror,445,0,2,1,1,1,0,445,0,0,1,0,0,0,2
isn't helped by jihadists sharing some sort of like,450,2,2,1,1,1,0,450,0,2,0,0,0,0,2
super extreme islam yeah belinda in the u.s. you mean or,455,0,2,1,1,1,0,455,0,2,0,0,0,0,2
internally then they are all the terrorist act we had except,460,0,2,1,1,1,0,460,0,2,0,0,1,0,2
one or two were done by people that aren't french or belgian nationality,465,0,2,1,1,1,0,465,0,0,0,0,1,0,2
okay that's the same that not a lot of people know,470,0,2,1,1,1,0,470,0,0,0,0,1,0,2
which is like there's,475,0,2,1,1,1,0,475,0,0,0,0,1,0,2
a un from acts that several countries that you don't take in refugees,480,0,2,1,1,1,0,480,0,0,0,0,1,0,2
first of all the thing is strictly speaking this is not influencing yeah you enact,485,0,2,1,1,1,0,485,0,0,0,0,1,0,2
is i can so agreement between countries that it's going to be cool if you do this but then you don't really have,490,0,1,1,1,1,0,490,0,0,0,0,1,0,1
to so it's an on enforcing act therefore there's no,495,0,1,1,1,1,0,495,0,0,0,0,1,0,1
global there it doesn't it's not a global agreement between all these countries therefore,500,0,1,1,1,1,0,500,0,0,0,0,1,0,1
we're not going to look at that it doesn't it's not a global agreement between all these countries therefore we're not going to receive any laundry doing so good,505,1,1,1,1,1,0,505,0,0,0,0,1,0,1
okay and then the other thing is korea is,510,1,1,1,1,1,0,510,0,1,1,0,1,0,1
already taking in an annual number of refugees from north korea so although,515,1,2,1,1,1,0,515,0,0,1,0,1,0,2
it's not comparable to the money bushland but the thing is if you put on a ratio,520,0,1,1,1,0,0,520,0,0,1,0,1,0,1
so i'm out of breath from the article reassigned it 0.15 the,5,0,1,1,0,1,0,5,0,0,1,0,1,0,1
21 convention direct with russia act which basically stated that korea will except for fisheries,10,0,1,1,0,1,0,10,0,0,1,0,1,0,1
to create keeps up with this promise and that is becoming more,20,0,1,1,0,1,0,20,0,0,1,0,1,0,1
and more international laws and there's a reason why i said they would exhibitions,25,0,1,1,0,1,0,25,0,0,1,0,1,0,1
in which case i think signifies that we are ready for it first of all both financially,30,0,1,1,0,1,0,30,0,0,1,0,1,0,1
and culturally and to suddenly turn our backs on these refugees for in desperate,35,0,1,1,0,1,0,35,0,0,0,0,1,0,1
situations when they're coming into our country to flee their civil war,40,0,1,1,0,1,0,40,0,0,0,0,1,0,1
is very hypocritical and against the words that korea should be keeping it with international,45,0,1,1,0,1,0,45,0,0,0,0,1,0,1
community and i think it's very important to emphasize that the number of bring you many refugees,50,0,1,1,0,1,0,50,0,0,1,0,0,0,1
are coming in is when you about founder 15 which is very small compared to other,55,0,1,1,0,1,0,55,0,0,1,0,0,0,1
countries which mentioned like germany which i understand is in a different situation but even so it is still very small,60,0,1,1,0,1,0,60,0,0,1,0,0,0,1
compared to a lot of other countries for accepting many were refugees from many diverse backgrounds,65,0,1,1,0,1,0,65,0,0,1,0,0,0,1
it looked also mention that they restricted to jeju island which is already,70,0,1,1,0,1,0,70,0,0,1,0,0,0,1
known for its many chinese and other country of immigrants so it's not,75,0,1,1,0,1,0,75,0,0,1,0,0,0,1
as if there's only invading the mainland and it's very easy for us to contain them,80,0,1,1,0,1,0,80,0,0,1,0,0,0,1
and try to contain situation if people very much worried about crime or any,85,0,1,1,0,1,0,85,0,0,1,0,0,0,1
other problems that arise with immigration so i think,90,0,1,1,0,1,0,90,0,0,1,0,0,0,1
for koreans to suddenly say all this not accepting refugees just because we are all one national,95,0,1,1,0,1,0,95,0,0,1,0,0,0,1
what now look to the nation is very critical,100,0,1,1,0,1,0,100,0,0,1,0,0,0,1
and also a rash decision that shouldn't be made so quickly,105,0,1,1,0,1,0,105,0,0,1,0,0,0,1
well although i do agree that some humanitarian effort,110,0,1,1,0,1,0,110,0,0,1,0,0,0,1
is needed for the civil war i think your points exemplify exactly why korea isn't,115,0,1,1,0,1,0,115,0,0,1,0,1,0,1
actually ready for such an intake in immigration you mentioned that he,120,1,1,1,0,1,0,120,0,0,1,0,1,0,1
only lived in a very small number of people i think it's around 500 and even with that small,125,0,1,1,0,0,0,125,0,0,1,0,1,0,1
number of refugees that we took in people have signed a petition,130,0,1,1,0,0,0,130,0,0,1,0,1,0,1
they've protests on the streets many people are displeased that doesn't feel like and it's neat,135,0,1,1,0,0,0,135,0,0,1,0,1,0,1
like a small number of 500 people and also korea is a very young nation and,140,0,1,1,0,1,0,140,0,0,1,0,1,0,1
as you know that we were put into the industrial revolution,145,0,1,1,0,1,0,145,0,0,0,0,1,1,1
very quickly so i think culturally and socially we aren't actually,150,0,1,1,0,1,0,150,0,0,0,0,1,1,1
quite ready to be such a,155,0,1,1,0,1,0,155,0,0,1,0,1,0,1
big police factor in the glow on the global scale for integration,160,0,1,1,0,1,0,160,0,0,1,0,1,0,1
and i think the statistics show this so,165,0,1,1,0,1,0,165,0,0,1,0,1,0,1
as you can actually read from the article as well most of the opposing side,170,0,1,1,0,1,0,170,0,0,0,0,1,0,1
actually come from the younger generation of korea even despite the more liberal,175,0,1,1,0,1,0,175,0,0,0,0,1,0,1
despite them being the more liberal portion of the population and i think that shows,180,0,1,1,0,1,0,180,0,0,0,0,1,0,1
are culturally and socially korea isn't ready for internationalism,185,0,1,1,0,1,0,185,0,0,0,0,1,0,1
there's also the political background of korea and the roots of xenophobia and homogeneity in korea where,190,0,1,1,0,1,0,190,0,0,0,0,1,0,1
we sort of stick to ourselves and we don't really care for other people they're non-korean so,195,0,1,1,0,1,0,195,0,0,0,0,1,0,1
i think in that regard we're not ready in the social and cultural mask,200,0,1,1,0,1,0,200,0,0,0,0,1,0,1
well you,205,0,1,1,0,1,0,205,0,0,0,0,1,0,1
said they were not really culturally socially first of all social you mentioned how,210,0,1,1,0,1,0,210,0,0,0,0,1,0,1
korea has it's a big eyes development very quickly i would say after korean war however if,215,0,1,1,0,1,0,215,0,0,0,0,1,0,1
you look at germany for example they also have to war to begin development really quickly it wasn't,220,0,1,1,0,1,0,220,0,0,0,0,1,0,1
until even the 80s when the western and eastern combined so i'm not sure if that could be technically argued,225,0,1,1,0,0,0,225,0,0,0,0,1,0,1
in this case it culturally yes you're right it's a lot of people not really okay,230,0,1,1,0,0,0,230,0,0,0,0,1,0,1
with the idea of a lot of other cultures coming in especially as you've mentioned and regeneration but if there,235,0,1,1,0,0,0,235,0,0,1,0,1,0,1
was one article that argue that the rather than necessarily xenophobic racist,240,0,1,1,0,0,0,240,0,0,1,0,1,0,1
just those factors it could be also due to the fact that a lot of them generation are nervous,245,0,1,1,0,0,0,245,0,0,1,0,1,0,1
about the current situation you cannot be situation in korea what they call yo u as in that,250,0,1,1,0,0,0,250,0,0,1,0,1,0,1
they believe that these immigrants will be character jobs will take a lot of welfare,255,0,1,1,0,0,0,255,1,0,1,0,1,0,1
that technically belong to the younger generation however what i like to argue is,260,0,1,1,0,0,0,260,1,0,1,0,1,0,1
people are usually looking for laura and jobs which in my opinion is actually complete opposite,265,0,1,1,0,0,0,265,0,0,1,0,1,0,1
of what the millennials or the younger generation are looking for because someone people who graduate from college they're looking for usually,270,0,1,1,0,0,0,270,1,0,1,0,1,0,1
high in jobs that pay well that will get them ready for the society for marriage for example,275,0,1,1,0,0,0,275,0,0,1,0,1,0,1
and i feel anyone to actually filling the void in which the younger generation are very reluctant to take,280,0,1,1,0,0,0,280,0,0,1,0,1,0,1
so i believe that this will actually serve as a good opportunity for them and in order,285,0,1,1,0,0,0,285,0,0,1,0,1,0,1
if we educate the people on on the effects and also the not effects,290,0,1,1,0,0,0,290,1,0,1,0,1,0,1
that will rise for migration i think it's important to note that,295,0,1,1,0,0,0,295,0,0,1,0,1,0,1
the people will be might be more likely to support this system,300,0,1,1,0,0,0,300,0,0,1,0,1,0,1
to emphasize that it's not going to create damage but impact and if it does it is possible to,305,2,1,1,0,0,0,305,0,0,1,0,1,0,1
be 4 to positive then warden - i do agree that immigrants,310,0,1,1,0,0,0,310,0,0,1,0,1,0,1
do tend to take on lower-end drops then the natives however i think that again shows,315,0,1,1,0,0,0,315,0,0,1,0,1,0,1
how not ready we are as a country to let in these refugees,320,0,1,1,0,0,0,320,0,0,1,0,1,0,1
despite the fact despite the fact that on the global scale we already have,325,2,1,1,0,0,0,325,0,0,1,0,1,0,1
evidence of immigrants taking the raindrops just to get america europe for this thing what is,330,0,1,1,0,0,0,330,0,0,1,0,1,0,1
it you tend to take jobs that the native stone want and i'm pretty sure,335,0,1,1,0,0,0,335,0,0,1,0,1,0,1
a lot of them generation also knows this fact and even then we're still against it,340,0,1,1,0,0,0,340,0,0,1,0,1,0,1
and i think the fact that the younger generation is focusing on their own i guess survival,345,1,1,1,0,0,0,345,0,0,1,0,1,0,1
than the lives of these people these poor people,350,0,1,1,0,1,0,350,0,0,1,0,1,0,1
who are escaping civil war just goes to show that currently the imagination isn't interested in,355,0,1,1,0,1,0,355,0,0,1,0,1,0,1
monitoring efforts and i think we should also be very careful,360,0,1,1,0,1,0,360,0,0,1,0,1,0,1
of the political we know that this issue might,365,0,1,1,0,1,0,365,0,0,1,0,1,0,1
cause as you can see in america and in europe the political scene has become,370,1,1,1,0,1,0,370,0,0,1,0,1,0,1
very extreme and polarized because of issues such as these and,375,0,1,1,0,1,0,375,2,0,1,0,1,0,1
i can't see any way to avoid like,380,0,1,1,0,1,0,380,2,0,1,0,1,0,1
a trend towards a political extremism in terms of this issue that,385,0,1,1,0,1,0,385,2,0,1,0,1,0,1
as you can see from other countries,390,0,1,1,0,0,0,390,2,0,1,0,1,0,1
people with extremism which is a very valid argument i agree america especially has been facing this,400,1,1,1,0,1,0,400,2,0,1,0,1,0,1
problem and europe with the recent syrian refugee crisis has been going through this a lot but i think,405,0,1,1,0,1,0,405,2,0,1,0,1,0,1
it's also important to mention that i think it is also part of government,410,1,1,1,0,1,0,410,2,0,1,0,1,0,1
kind of responsibility to keep the monastery and it's not,415,0,1,1,0,1,0,415,2,0,1,0,1,0,1
opposed to in part judgment on things well so it's important for to keep,420,0,1,1,0,1,0,420,2,0,1,0,1,0,1
morale and i like not lights,425,0,1,1,0,0,0,425,0,0,1,0,1,0,1
up great i think in the country and i think it's also important to remember,430,0,1,1,0,0,0,430,0,0,1,0,1,0,1
for koreans that we ourselves were officials ones just 56 years ago we were,435,0,1,1,0,0,0,435,0,0,1,0,1,0,1
in shanghai forming our own government or instruction he's and understand as politically,440,0,1,1,0,0,0,440,0,0,1,0,1,0,1
very sensitive issue but i think that shouldn't discourage us from,445,0,1,1,0,0,0,445,0,0,1,0,1,0,1
doing the right thing in my opinion and trying to bring the people,450,0,1,1,0,0,0,450,0,0,1,0,1,0,1
around other than just appeal to them briefly for just for political sake first,455,0,1,1,0,0,0,455,1,0,1,0,1,0,1
of all i think what's important is corrupting them on on wrong information factually wrong,460,0,1,1,0,0,0,460,0,0,1,0,1,0,1
information such as the recent hashtag with the gesture women right swedish woman,465,0,1,1,0,0,0,465,0,0,1,0,1,0,1
which stated that six people were killed which was very baseless there was no no evidence against it so,470,0,1,1,0,0,0,470,1,0,1,0,1,0,1
i think a lot of these are backed by stereotypes and wrong information so correcting that i think will fix some of the issues,475,0,1,1,0,0,0,475,1,0,1,0,1,0,1
that you've stated you did you mentioned on government's role,480,0,1,1,0,0,0,480,0,0,1,0,1,0,1
in i guess correcting this issue but at the same time i think what might be even,485,0,1,1,0,0,0,485,1,0,1,0,1,0,1
more important than the cultural and social aspect of this issue is the policy behind the current,490,0,1,1,0,0,0,490,0,0,1,0,1,0,1
system that lets in these refugees so if the articles,495,0,1,1,0,0,0,495,0,0,1,0,1,0,1
that we read are accurate it does seem that this current system is very inefficient and does have major flaws,500,0,1,1,0,0,0,500,0,0,1,0,1,0,1
on the fact that these are histories are allowed to have it for long probation,505,0,1,1,0,0,0,505,0,0,1,0,1,0,1
so on the matter on the matter of taking refugees from yemen to jeju island on the,5,0,1,0,0,0,0,5,2,0,0,0,0,0,1
most primary concern is the other one about the economy quite clearly the query,10,0,1,0,0,0,0,10,2,0,0,0,0,0,1
creates the economy right now isn't really stable although at the very top,15,0,1,0,0,0,0,15,2,0,0,0,0,0,1
bottom there are there are a lot of people who doesn't have enough money and they struggle to live out their everyday,25,0,1,0,0,0,0,25,0,0,0,0,0,0,1
lives in this in this in this in this chaotic time period in,30,2,1,0,0,0,0,30,2,0,0,0,0,0,1
am accepting yemen universities may actually further,35,2,1,0,0,0,0,35,2,0,0,0,0,0,1
kiosk the our government taxes are limited,40,2,1,0,0,1,0,40,0,0,0,0,0,0,1
and if we have to give the refugees government's print out of our own taxes,45,0,1,0,0,1,0,45,0,0,0,0,0,0,1
then that much that much money has to be taken from,50,2,1,0,0,1,0,50,2,0,0,0,0,0,1
somewhere else and i think that that money can be,55,0,1,0,0,1,0,55,2,0,0,0,0,0,1
used that money should be first least for our own people first,60,2,1,0,0,1,0,60,2,0,0,0,0,0,1
if you are a nice if our country was a stable,65,0,1,0,0,1,0,65,0,0,0,0,0,0,1
country and if we had a lot of money that we can spend when,70,0,1,0,0,1,0,70,2,0,0,0,0,0,1
sure we should accept refugees but our state our situation isn't very good right now so i think,75,0,1,0,0,1,0,75,2,0,0,0,0,0,1
that we need to say we need to stabilize our economy first and then letting the refugees later,80,2,1,0,0,1,0,80,0,0,0,0,0,0,1
when when when it's acceptable to do so,85,2,1,0,0,1,0,85,2,0,0,0,0,0,1
okay well first of all,90,2,1,0,0,1,0,90,0,0,0,0,0,0,1
i'm not really sure what you mean by we have an unstable economy,95,2,1,0,0,1,0,95,0,0,0,0,0,0,1
over the chaotic state compared to many other,100,2,1,0,0,1,0,100,0,2,0,0,0,0,1
countries i do believe korea is very,105,2,1,0,0,0,0,105,0,0,0,0,0,0,1
stable economy and if you just look at the gdp,110,2,1,0,0,1,0,110,0,2,0,0,0,0,1
people over love and beside i don't think this should be the or problem the core,115,2,1,0,0,1,0,115,0,0,0,0,0,0,1
of the problem is that there is a crisis happening and,120,2,1,0,0,1,0,120,0,2,0,0,0,0,1
we should prioritize human life over any like political or cultural,125,2,1,0,0,1,0,125,0,2,0,1,0,0,1
conflicts and you know,130,2,1,0,0,1,0,130,0,2,0,1,0,0,1
you say we wait until,135,2,1,0,0,0,0,135,0,2,0,1,0,0,1
our economy is stabilized with there's less chaos but the crisis isn't going to wait for us,140,2,1,0,0,0,0,140,0,2,0,1,0,0,1
war isn't going to wait for people to be ready,145,2,1,0,0,0,0,145,0,0,0,0,1,0,1
to take refugees i think we should really have to see what what what,150,2,1,0,0,1,0,150,0,0,0,0,1,0,1
what is the on a human level or is the priority,155,2,1,0,0,0,0,155,0,2,0,0,0,0,1
yeah that's my favorite,165,2,1,0,0,0,0,165,0,0,0,0,0,0,1
he said i have to prioritize over human life but in,170,2,1,0,0,1,0,170,0,2,0,0,1,0,1
any said our economy isn't it's a very good economy the gdp is,175,2,1,0,0,1,0,175,0,0,0,0,1,0,1
high countries other countries but you have to take into account that the gp,180,0,1,0,0,1,0,180,2,0,0,0,0,0,1
is the average amount of income there are because,185,0,1,0,0,1,0,185,2,0,0,0,0,0,1
there are people at the very bottom of the society chain that struggle to live,190,0,1,0,0,1,0,190,2,0,0,0,0,0,1
out their lives and i'll show you i'm not we shouldn't,195,0,1,0,0,1,0,195,0,0,0,0,0,0,1
prioritize what human life but i'm wondering if whether that priority should extend,200,0,1,0,0,1,0,200,0,0,0,0,0,0,1
to foreigners first i think that all of there are other,205,0,1,0,0,1,0,205,0,0,0,0,0,0,1
countries there are other countries who are able to accept the refugees and,210,0,1,0,0,1,0,210,2,0,0,0,0,0,1
their are koreans who are struggling so we should,215,0,1,0,0,1,0,215,0,0,0,0,0,0,1
take care of them first,220,0,1,0,0,1,0,220,2,0,0,0,0,0,1
well the thing about the whole texting is that,225,0,1,0,0,1,0,225,2,0,0,0,0,0,1
you speak as if we are sacrificing our citizens,230,0,1,0,0,1,0,230,2,0,0,0,0,0,1
like money that was already reserved for citizens to,235,0,1,0,0,1,0,235,0,0,0,0,0,0,1
the yemeni people but that's just not the case it's,240,0,1,0,0,1,0,240,0,0,0,0,0,0,1
as if it's not as if there was money allocated for the pole to pole in korean,245,2,1,0,0,1,0,245,0,0,0,0,1,0,1
and that has been shifted towards the yemeni people i'm,250,2,1,0,0,1,0,250,1,0,0,0,0,0,1
sure with enough intent the government would be flexible enough to allocate,255,0,1,0,0,1,0,255,0,0,0,0,0,0,1
enough money for both problems may be called from something that,260,0,1,0,0,1,0,260,1,0,0,0,0,0,1
is not really,265,2,1,0,0,1,0,265,1,0,0,0,0,0,1
it's not be so direct to people's lives,270,2,1,0,0,0,0,270,1,0,0,0,0,0,1
for example you know with any government,275,2,1,0,0,0,0,275,1,0,0,0,0,0,1
any government that's that's involved in some kind of,280,2,1,0,0,0,0,280,1,0,0,0,0,0,1
international conflict especially especially innovative,285,2,1,0,0,0,0,285,0,0,0,0,0,0,1
korean warm move to the taxes actually go to the military,290,2,1,0,0,0,0,290,0,0,0,0,0,0,1
and the proportions are amazing how,295,2,1,0,0,0,0,295,0,0,0,0,0,0,1
how much actually goes into the tree and how little goes into public service,300,2,1,0,0,0,0,300,0,0,0,0,0,0,1
and i just don't think that that's the first thing that we should focus on it's,305,2,1,0,0,0,0,305,0,0,0,0,0,0,1
not a weighing scale between all the cool people korean,310,2,1,0,0,0,0,310,0,0,0,0,0,0,1
and the yemeni people,315,2,1,0,0,0,0,315,0,0,0,0,0,0,1
you talked about the,320,2,1,0,0,0,0,320,0,0,0,0,0,0,1
money you talk about life we can reject the money that goes into the military and we start,325,2,1,0,0,1,0,325,0,0,0,0,0,0,1
to take care of the yemeni citizen strength but,330,2,1,0,0,1,0,330,0,0,0,0,0,0,1
that's quite it's not asking for that we all,335,2,1,0,0,0,0,335,0,0,0,0,0,0,1
those amazing peaceful we are in a crisis of world and i was going to korea and there,340,2,1,0,0,0,0,340,0,0,0,0,0,0,1
are political factions including the tug of americans that encourages,345,2,1,0,0,1,0,345,0,0,0,0,0,0,1
and force us to and extraneous amount of money towards the military,350,0,1,0,0,1,0,350,2,0,0,0,0,0,1
for their own safety and for our own safety as well so,355,0,1,0,0,0,0,355,2,0,0,0,0,0,1
sure it's a good idea is if he just if,360,0,1,0,0,0,0,360,2,0,0,0,0,0,1
he stopped the war and reject money iii read that money to the yemeni citizens,365,0,1,0,0,0,0,365,2,0,0,0,0,0,1
but if that doesn't but that's not that's quite realistically,370,0,1,0,0,0,0,370,2,0,0,0,0,0,1
man there are forces that we have to contend with and,375,0,1,0,0,0,0,375,2,0,0,0,0,0,1
they may not allow us to make that decision so easily,380,0,1,0,0,0,0,380,0,0,0,0,0,0,1
so what i'm seeing is that like taking indian citizens is great,385,0,1,0,0,0,0,385,2,0,0,0,0,0,1
but only if the situation with situation allows self i mean i think that,390,0,1,0,0,1,0,390,2,0,0,0,0,0,1
our society can take care of that right now,395,0,1,0,0,1,0,395,2,0,0,0,0,0,1
i guess we can go about,410,0,1,0,0,0,0,410,2,0,0,0,0,0,1
the whole allocation of money thinking much more detailed my,415,0,1,0,0,0,0,415,2,0,0,0,0,0,1
main point is that,420,0,1,0,0,0,0,420,2,2,0,0,0,0,1
the first thing that we think you know taken away so to speak the from,425,0,1,0,0,0,0,425,2,2,0,0,1,0,1
the tax money shouldn't be department of public service,430,2,1,0,0,0,0,430,0,2,0,0,0,0,1
it's not as if,435,2,1,0,0,0,0,435,0,0,0,0,1,0,1
this is a my point still stands that it's not as the money,440,2,1,0,0,1,0,440,0,0,0,0,1,0,1
going into the amnesty of these yemeni people is,445,2,1,0,0,1,0,445,0,0,0,0,1,0,1
is directed straight from the public service cut,450,2,1,0,0,0,0,450,0,0,0,0,1,0,1
really do not know what the topic is,460,2,1,0,0,0,0,460,0,0,0,0,1,0,1
but i would still,465,2,1,0,0,0,0,465,0,0,0,0,1,0,1
like to say like sick,470,2,1,0,0,0,0,470,0,0,0,0,1,0,1
at least at least we should really focus on,475,2,1,0,0,0,0,475,0,0,0,0,1,0,1
if there are other countries that is,480,2,1,0,0,1,0,480,0,0,0,0,1,0,1
your daily people could realistically go to ocean first consider the wires it is happening,485,2,1,0,0,0,0,485,0,0,0,0,1,0,1
already and the second point is,490,2,1,0,0,1,0,490,0,0,0,0,1,0,1
i think people are focusing way too much on what to have these people inside,495,2,1,0,0,1,0,495,0,0,0,0,0,0,1
the country or not rather than you know how to solve this crisis not know how to solve this question about what you know what we can,500,0,2,0,0,0,0,500,0,0,0,0,0,0,2
do to help this crisis and we had to we should really think about what if people,505,2,1,0,0,0,0,505,0,0,0,0,0,0,1
okay so i think one of the major cons of,5,2,1,0,0,0,0,5,2,0,0,0,0,0,1
letting the enemies of jesus korea is this idea of koreans come first so if,10,2,1,0,0,0,0,10,2,0,0,0,0,0,1
you look at the statistics the majority of the people who are against the emmys,15,0,1,0,0,0,0,15,0,0,1,0,0,0,1
this is although this this is although this is a hypothesis this may stem from the fact that there's a,30,0,1,0,0,0,0,30,2,0,0,0,0,0,1
high levels of youth unemployment so there is this concept of this idea that,35,0,1,0,0,1,0,35,2,0,0,0,0,0,1
why are we letting these refugees come in and why are we spending taxpayers,40,2,1,0,0,0,0,40,2,0,0,0,0,0,1
money on them when we should be focusing on other important issues that are more relevant to,45,0,1,0,0,0,0,45,2,0,0,0,0,0,1
current people such as this idea of youth unemployment yeah,50,2,1,0,0,0,0,50,2,0,0,0,0,0,1
and also the second point is that because of the mass in flux,55,0,1,0,0,0,0,55,2,0,0,0,0,0,1
so in 2015 there said there were no in no refugees but number drastically,60,2,1,0,0,0,0,60,2,0,0,0,0,0,1
increased so it also seems like they could potentially be taking advantage of the system,65,2,1,0,0,0,0,65,2,0,0,0,0,0,1
or korean korean law,70,0,1,0,0,0,0,70,0,0,1,0,0,0,1
so yeah i heard your points,75,2,0,0,0,1,0,75,0,0,0,0,0,0,0
for mike those i'll start with my point of view first,80,0,0,0,0,1,0,80,0,0,0,0,0,0,0
off these people giving these who came to this country came here basically,85,0,1,0,0,0,0,85,0,0,0,0,0,0,1
to seek shelter from the war right the many wars i've been going on these people,90,0,1,0,0,0,0,90,1,0,0,0,0,0,1
ran away from it they don't want to participate in the war and they were basically,95,0,1,0,0,0,0,95,1,0,0,0,0,0,1
you know stripping from their rights to be safe and be educated,100,0,1,0,0,0,0,100,0,0,0,0,0,0,1
and those kind of stuff and that's why they came to this country and not allowing them to,105,0,1,0,0,0,0,105,0,0,0,0,0,0,1
stay in this country even though we actually made it into law that we could take them,110,0,1,0,0,0,0,110,0,0,0,0,0,0,1
in b.o.b.,115,2,1,0,0,0,0,115,0,0,0,0,0,0,1
it be what it called you know if he trying,120,0,1,0,0,0,0,120,0,0,0,0,0,0,1
to you know say that you're a nice person but only that be a facade right,125,0,1,0,0,0,0,125,0,2,0,0,1,0,1
you're actually a bad person but not lying not for not allowing them to be in here and,130,0,1,0,0,0,0,130,0,2,0,0,2,0,1
that was one of the basic human rights issues and the second point would be,135,0,1,0,0,0,0,135,1,2,0,0,1,0,1
koreans are not letting them because they think they are racist and rapists and,140,0,1,0,0,0,0,140,1,2,0,0,1,0,1
terrorists right but those things are not true since,145,0,1,0,0,0,0,145,1,2,0,0,2,0,1
they ran away from that were they are the people who don't do not like violence,150,0,1,0,0,0,0,150,1,0,0,0,0,0,1
so that's one of the main points that you could say that they don't do it like that,155,0,1,0,0,0,0,155,0,0,0,0,0,0,1
okay so it's our your first point was that you can you tell me your first one again,160,0,1,0,0,0,0,160,0,0,0,0,0,0,1
so people get it's a basic human rights,165,0,1,0,0,0,0,165,0,0,0,0,0,0,1
